unix,date,symbol,open,high,low,close,volume
1714867200000,05-05-2024,BTCUSDT,63892.03000000,64646.00000000,62822.17000000,64012.00000000,18526.75029000
1714780800000,05-04-2024,BTCUSDT,62882.01000000,64540.00000000,62541.03000000,63892.04000000,24368.69282000
1714694400000,05-03-2024,BTCUSDT,59060.60000000,63333.00000000,58811.32000000,62882.01000000,43628.40143000
1714608000000,05-02-2024,BTCUSDT,58364.97000000,59625.00000000,56911.84000000,59060.61000000,47583.81961000
1714521600000,05-01-2024,BTCUSDT,60672.01000000,60841.63000000,56552.82000000,58364.97000000,81166.46823000
1714435200000,04-30-2024,BTCUSDT,63866.00000000,64734.00000000,59191.60000000,60672.00000000,54947.65535000
1714348800000,04-29-2024,BTCUSDT,63118.62000000,64228.35000000,61765.53000000,63866.00000000,28150.22947000
1714262400000,04-28-2024,BTCUSDT,63461.98000000,64370.00000000,62781.00000000,63118.62000000,16949.20005000
1714176000000,04-27-2024,BTCUSDT,63770.00000000,63923.41000000,62391.24000000,63461.98000000,20933.06052000
1714089600000,04-26-2024,BTCUSDT,64498.33000000,64820.01000000,63297.48000000,63770.01000000,27085.19346000
1714003200000,04-25-2024,BTCUSDT,64289.58000000,65297.94000000,62794.00000000,64498.34000000,31341.46338000
1713916800000,04-24-2024,BTCUSDT,66414.00000000,67070.43000000,63606.06000000,64289.59000000,33595.69637000
1713830400000,04-23-2024,BTCUSDT,66819.32000000,67183.01000000,65765.81000000,66414.00000000,22599.90004000
1713744000000,04-22-2024,BTCUSDT,64941.15000000,67232.35000000,64500.00000000,66819.32000000,31397.99371000
1713657600000,04-21-2024,BTCUSDT,64940.58000000,65695.56000000,64237.50000000,64941.15000000,19316.42152000
1713571200000,04-20-2024,BTCUSDT,63818.01000000,65419.00000000,63090.07000000,64940.59000000,23137.42975000
1713484800000,04-19-2024,BTCUSDT,63470.09000000,65450.00000000,59600.01000000,63818.01000000,69774.30271000
1713398400000,04-18-2024,BTCUSDT,61277.38000000,64117.09000000,60803.35000000,63470.08000000,43601.60918000
1713312000000,04-17-2024,BTCUSDT,63793.40000000,64499.00000000,59678.16000000,61277.37000000,50610.54509000
1713225600000,04-16-2024,BTCUSDT,63419.99000000,64365.00000000,61600.00000000,63793.39000000,53435.29331000
1713139200000,04-15-2024,BTCUSDT,65661.85000000,66867.07000000,62274.40000000,63419.99000000,52389.53069000
1713052800000,04-14-2024,BTCUSDT,63924.52000000,65840.00000000,62134.00000000,65661.84000000,61599.17818000
1712966400000,04-13-2024,BTCUSDT,67116.52000000,67929.00000000,60660.57000000,63924.51000000,71395.22019000
1712880000000,04-12-2024,BTCUSDT,70006.22000000,71227.46000000,65086.86000000,67116.52000000,56072.86229000
1712793600000,04-11-2024,BTCUSDT,70631.08000000,71305.89000000,69567.21000000,70006.23000000,31917.25595000
1712707200000,04-10-2024,BTCUSDT,69146.00000000,71172.08000000,67518.00000000,70631.08000000,42006.02377000
1712620800000,04-09-2024,BTCUSDT,71620.00000000,71758.19000000,68210.00000000,69146.00000000,39293.90242000
1712534400000,04-08-2024,BTCUSDT,69360.38000000,72797.99000000,69043.24000000,71620.00000000,45723.87624000
1712448000000,04-07-2024,BTCUSDT,68896.00000000,70326.29000000,68824.00000000,69360.39000000,21534.74433000
1712361600000,04-06-2024,BTCUSDT,67820.63000000,69692.00000000,67447.83000000,68896.00000000,20134.28919000
1712275200000,04-05-2024,BTCUSDT,68487.80000000,68756.67000000,65952.56000000,67820.62000000,37915.23073000
1712188800000,04-04-2024,BTCUSDT,65963.27000000,69309.91000000,65064.52000000,68487.79000000,41510.48453000
1712102400000,04-03-2024,BTCUSDT,65463.99000000,66903.63000000,64493.07000000,65963.28000000,39887.21778000
1712016000000,04-02-2024,BTCUSDT,69649.81000000,69674.23000000,64550.00000000,65463.99000000,71799.82793000
1711929600000,04-01-2024,BTCUSDT,71280.00000000,71288.23000000,68062.86000000,69649.80000000,41445.32039000
1711843200000,03-31-2024,BTCUSDT,69582.17000000,71366.00000000,69562.99000000,71280.01000000,19396.34433000
1711756800000,03-30-2024,BTCUSDT,69850.53000000,70321.10000000,69540.00000000,69582.18000000,13644.61142000
1711670400000,03-29-2024,BTCUSDT,70780.60000000,70916.16000000,69009.00000000,69850.54000000,25445.08353000
1711584000000,03-28-2024,BTCUSDT,69469.99000000,71552.06000000,68903.62000000,70780.60000000,35439.03239000
1711497600000,03-27-2024,BTCUSDT,69987.99000000,71769.54000000,68359.18000000,69469.99000000,49119.35685000
1711411200000,03-26-2024,BTCUSDT,69880.00000000,71561.10000000,69280.00000000,69988.00000000,38934.38417000
1711324800000,03-25-2024,BTCUSDT,67210.00000000,71150.00000000,66385.06000000,69880.01000000,53431.14486000
1711238400000,03-24-2024,BTCUSDT,63990.02000000,67628.69000000,63772.29000000,67209.99000000,31395.78015000
1711152000000,03-23-2024,BTCUSDT,63796.64000000,65999.00000000,63000.00000000,63990.01000000,26410.11409000
1711065600000,03-22-2024,BTCUSDT,65501.28000000,66649.62000000,62260.00000000,63796.64000000,51482.37821000
1710979200000,03-21-2024,BTCUSDT,67840.51000000,68240.47000000,64529.01000000,65501.27000000,53357.48002000
1710892800000,03-20-2024,BTCUSDT,61937.41000000,68100.00000000,60775.00000000,67840.51000000,90420.58592000
1710806400000,03-19-2024,BTCUSDT,67610.00000000,68124.11000000,61555.00000000,61937.40000000,101005.32487000
1710720000000,03-18-2024,BTCUSDT,68393.47000000,68956.00000000,66565.20000000,67609.99000000,55691.08088000
1710633600000,03-17-2024,BTCUSDT,65300.64000000,68904.40000000,64533.00000000,68393.48000000,49742.21589000
1710547200000,03-16-2024,BTCUSDT,69499.84000000,70043.00000000,64780.00000000,65300.63000000,55926.95336000
1710460800000,03-15-2024,BTCUSDT,71388.94000000,72419.71000000,65600.00000000,69499.85000000,103334.03546000
1710374400000,03-14-2024,BTCUSDT,73072.40000000,73777.00000000,68555.00000000,71388.94000000,71757.62874600
1710288000000,03-13-2024,BTCUSDT,71452.00000000,73650.25000000,71333.31000000,73072.41000000,52659.71164700
1710201600000,03-12-2024,BTCUSDT,72078.10000000,73000.00000000,68620.82000000,71452.01000000,68783.54669100
1710115200000,03-11-2024,BTCUSDT,68955.88000000,72800.00000000,67024.96000000,72078.10000000,75292.82572600
1710028800000,03-10-2024,BTCUSDT,68313.28000000,69887.61000000,68094.75000000,68955.88000000,38404.66835000
1709942400000,03-09-2024,BTCUSDT,68124.20000000,68541.10000000,67861.10000000,68313.27000000,19872.89743000
1709856000000,03-08-2024,BTCUSDT,66823.18000000,69990.00000000,66082.66000000,68124.19000000,74261.93284200
1709769600000,03-07-2024,BTCUSDT,66074.04000000,67980.00000000,65551.00000000,66823.17000000,53059.88690000
1709683200000,03-06-2024,BTCUSDT,63724.01000000,67641.10000000,62779.14000000,66074.04000000,78738.85491000
1709596800000,03-05-2024,BTCUSDT,68245.71000000,69000.00000000,59005.00000000,63724.01000000,132696.78130000
1709510400000,03-04-2024,BTCUSDT,63113.97000000,68499.00000000,62300.00000000,68245.71000000,84835.16005000
1709424000000,03-03-2024,BTCUSDT,61987.28000000,63231.88000000,61320.00000000,63113.97000000,28994.90903000
1709337600000,03-02-2024,BTCUSDT,62387.90000000,62433.19000000,61561.12000000,61987.28000000,25534.73659000
1709251200000,03-01-2024,BTCUSDT,61130.99000000,63114.23000000,60777.00000000,62387.90000000,47737.93473000
1709164800000,02-29-2024,BTCUSDT,62432.11000000,63676.35000000,60364.70000000,61130.98000000,78425.07603000
